,x1,y1,x2,y2
Esc,4,4,85,85
F1,168,4,250,85
F2,250,4,332,85
F3,332,4,414,85
F4,414,4,498,85
F5,538,4,620,85
F6,620,4,702,85
F7,702,4,783,85
F8,783,4,865,85
F9,907,4,989,85
F10,989,4,1072,85
F11,1072,4,1154,85
F12,1154,4,1236,85
~,6,128,88,208
1,88,128,170,208
2,170,128,251,208
3,251,128,333,208
4,333,128,415,208
5,415,128,497,208
6,497,128,578,208
7,578,128,660,208
8,660,128,742,208
9,742,128,824,208
0,824,128,905,208
-,905,128,987,208
=,987,128,1069,208
Backspace,1072,129,1236,208
Tab,4,210,126,291
Q,127,212,209,290
W,209,212,291,290
E,291,212,373,290
R,373,212,455,290
T,455,212,537,290
Y,537,212,619,290
U,619,212,701,290
I,701,212,783,290
O,783,212,865,290
P,865,212,947,290
[,947,212,1029,290
],1029,212,1111,290
\,1112,209,1236,291
Caps Lock,4,291,151,372
A,153,293,235,372
S,235,293,316,372
D,316,293,398,372
F,398,293,479,372
G,479,293,561,372
H,560,293,641,372
J,641,293,722,372
K,722,293,803,372
L,803,293,884,372
;,884,293,965,372
',965,293,1046,372
Return,1055,293,1235,372
L Shift,5,374,185,455
Z,185,374,267,455
X,267,374,349,455
C,349,374,431,455
V,431,374,513,455
B,513,374,595,455
N,595,374,677,455
M,678,374,760,455
",",760,374,842,455
.,842,374,923,455
/,923,374,1005,455
R Shift,1005,374,1234,454
L Ctrl,3,457,110,535
L Win,110,457,218,535
L Alt,218,457,325,535
Space,323,457,808,535
R ALt,810,458,916,537
R Win,916,458,1022,537
Fn,1022,458,1129,537
R Ctrl,1129,458,1235,537
,,,,
,,,,
